,lat,lon,DXYP__
628,-82.0,-50.0,8614268000.0
629,-82.0,-47.5,8614268000.0
630,-82.0,-45.0,8614268000.0
631,-82.0,-42.5,8614268000.0
632,-82.0,-40.0,8614268000.0
633,-82.0,-37.5,8614268000.0
634,-82.0,-35.0,8614268000.0
635,-82.0,-32.5,8614268000.0
636,-82.0,-30.0,8614268000.0
637,-82.0,-27.5,8614268000.0
638,-82.0,-25.0,8614268000.0
639,-82.0,-22.5,8614268000.0
640,-82.0,-20.0,8614268000.0
641,-82.0,-17.5,8614268000.0
642,-82.0,-15.0,8614268000.0
643,-82.0,-12.5,8614268000.0
644,-82.0,-10.0,8614268000.0
645,-82.0,-7.5,8614268000.0
646,-82.0,-5.0,8614268000.0
647,-82.0,-2.5,8614268000.0
648,-82.0,0.0,8614268000.0
649,-82.0,2.5,8614268000.0
650,-82.0,5.0,8614268000.0
651,-82.0,7.5,8614268000.0
652,-82.0,10.0,8614268000.0
653,-82.0,12.5,8614268000.0
654,-82.0,15.0,8614268000.0
655,-82.0,17.5,8614268000.0
656,-82.0,20.0,8614268000.0
657,-82.0,22.5,8614268000.0
658,-82.0,25.0,8614268000.0
659,-82.0,27.5,8614268000.0
660,-82.0,30.0,8614268000.0
661,-82.0,32.5,8614268000.0
662,-82.0,35.0,8614268000.0
663,-82.0,37.5,8614268000.0
664,-82.0,40.0,8614268000.0
665,-82.0,42.5,8614268000.0
666,-82.0,45.0,8614268000.0
667,-82.0,47.5,8614268000.0
668,-82.0,50.0,8614268000.0
669,-82.0,52.5,8614268000.0
670,-82.0,55.0,8614268000.0
671,-82.0,57.5,8614268000.0
672,-82.0,60.0,8614268000.0
673,-82.0,62.5,8614268000.0
674,-82.0,65.0,8614268000.0
675,-82.0,67.5,8614268000.0
676,-82.0,70.0,8614268000.0
677,-82.0,72.5,8614268000.0
678,-82.0,75.0,8614268000.0
679,-82.0,77.5,8614268000.0
680,-82.0,80.0,8614268000.0
681,-82.0,82.5,8614268000.0
682,-82.0,85.0,8614268000.0
683,-82.0,87.5,8614268000.0
684,-82.0,90.0,8614268000.0
685,-82.0,92.5,8614268000.0
686,-82.0,95.0,8614268000.0
687,-82.0,97.5,8614268000.0
688,-82.0,100.0,8614268000.0
689,-82.0,102.5,8614268000.0
690,-82.0,105.0,8614268000.0
691,-82.0,107.5,8614268000.0
692,-82.0,110.0,8614268000.0
693,-82.0,112.5,8614268000.0
694,-82.0,115.0,8614268000.0
695,-82.0,117.5,8614268000.0
696,-82.0,120.0,8614268000.0
697,-82.0,122.5,8614268000.0
698,-82.0,125.0,8614268000.0
699,-82.0,127.5,8614268000.0
